sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
CL5_399445857CCS_F0030100CCAM03022P3.CSV,Murky,55,+/-,5.1,0.2,0.24,+/-,0.26,0.26,24.6,+/-,3.9,0.7,0.2,+/-,1.6,0.5,1.1,+/-,1.5,0.2,10.5,+/-,3,0.1,6.04,+/-,1.03,0.11,0.48,+/-,0.65,0.06,98.26,3.33942,100A/95A/95A,2.83E+14
CL5_399445956CCS_F0030100CCAM03022P3.CSV,Murky,47.8,+/-,4.9,0.8,1.14,+/-,0.52,0.07,10.6,+/-,3.5,0.3,19.6,+/-,4.2,0.3,7.7,+/-,2.2,0.2,6.2,+/-,2,0.1,2.98,+/-,0.62,0.08,0.71,+/-,0.74,0.06,96.77,3.33942,100A/95A/95A,5.66E+14
CL5_399446055CCS_F0030100CCAM03022P3.CSV,Murky,54.7,+/-,5.1,0.6,0.79,+/-,0.45,0.01,20.2,+/-,3.7,2.6,10.1,+/-,2.7,4.3,1.4,+/-,1.5,0.5,8.8,+/-,2.7,1.2,5.96,+/-,1.02,0.66,0.41,+/-,0.63,0.09,102.4,3.33942,100A/95A/95A,2.47E+14
CL5_399446154CCS_F0030100CCAM03022P3.CSV,Murky,39.3,+/-,5.6,3.4,0.79,+/-,0.45,0.14,7.6,+/-,3.4,1.5,19.8,+/-,4.2,3.5,11.9,+/-,2.9,4.3,5.8,+/-,1.9,1.5,1.74,+/-,0.64,0.3,0.17,+/-,0.55,0.08,87.06,3.33942,100A/95A/95A,3.87E+14
CL5_399888098CCS_F0030530CCAM01027P3.CSV,NAu-2_Hi-S,39.9,+/-,5.5,1.9,0.68,+/-,0.42,0.01,5,+/-,3,0.3,14.6,+/-,3.3,1.6,2.7,+/-,1.6,0.2,12.9,+/-,3.2,1.5,0.92,+/-,0.54,0.03,0.11,+/-,0.53,0.01,76.92,1.59476,100A/40A/40A,2.58E+14
CL5_399888385CCS_F0030530CCAM01027P3.CSV,NAu-2_Med-S,44.7,+/-,5,0.6,0.71,+/-,0.42,0.05,6.8,+/-,3.3,0.2,14.3,+/-,3.3,1.5,2.5,+/-,1.6,0.1,11.3,+/-,3.1,0.7,1.12,+/-,0.59,0.06,0.28,+/-,0.58,0.01,81.72,1.59007,100A/40A/40A,2.08E+14
CL5_399888672CCS_F0030530CCAM01027P3.CSV,NAu-2_Low-S,49.7,+/-,5,0.9,0.69,+/-,0.42,0.01,7.5,+/-,3.4,0.1,15.2,+/-,3.4,1.7,2.9,+/-,1.6,0.2,7.4,+/-,2.4,0.3,1.47,+/-,0.64,0.03,0.47,+/-,0.65,0.01,85.33,1.59032,100A/40A/40A,2.11E+14
CL5_399888959CCS_F0030530CCAM01027P3.CSV,Kga-d_Med-S,42.2,+/-,5.2,0.8,1.25,+/-,0.55,0.14,19.7,+/-,3.7,0.7,10.5,+/-,2.7,0.7,3.7,+/-,1.7,0.3,14.8,+/-,3.4,0.6,1.17,+/-,0.6,0.08,0.26,+/-,0.58,0.02,93.64,1.58859,100A/40A/40A,2.04E+14
CL5_399889564CCS_F0030530CCAM01027P3.CSV,Shergottite,45.6,+/-,5,1.2,0.52,+/-,0.36,0.09,12.3,+/-,3.6,0.2,15.8,+/-,3.5,0.6,5.2,+/-,1.9,0.1,14.6,+/-,3.4,0.3,2.49,+/-,0.61,0.55,0.23,+/-,0.57,0.15,96.65,1.58958,100A/40A/40A,1.12E+14
CL5_399889851CCS_F0030530CCAM01027P3.CSV,Picrite,42.7,+/-,5.2,0.9,0.71,+/-,0.42,0.01,12.6,+/-,3.6,0.4,17.5,+/-,3.8,0.2,9.5,+/-,2.5,0.2,7.6,+/-,2.4,0.3,3.92,+/-,0.69,0.21,0.18,+/-,0.55,0.05,94.74,1.58884,100A/40A/40A,2.00E+14
CL5_399890138CCS_F0030530CCAM01027P3.CSV,Norite,42.5,+/-,5.2,0.4,0.81,+/-,0.45,0.01,14.8,+/-,3.6,0.2,16.1,+/-,3.6,0.2,7.5,+/-,2.2,0.1,12.9,+/-,3.2,0.2,1.68,+/-,0.65,0.1,0.02,+/-,0.51,0,96.34,1.58761,100A/40A/40A,1.43E+14
CL5_399890957CCS_F0030530CCAM02027P3.CSV,Link,51.2,+/-,5,1.5,0.88,+/-,0.47,0.08,20.9,+/-,3.7,0.9,9.2,+/-,2.5,2.7,1.2,+/-,1.5,0.1,5.5,+/-,1.8,0.6,3.69,+/-,0.67,0.26,1.83,+/-,1.14,0.19,94.31,2.67583,100A/95A/95A,3.91E+14
CL5_399891054CCS_F0030530CCAM02027P3.CSV,Link,52.5,+/-,5,2.3,0.9,+/-,0.47,0.16,20.2,+/-,3.7,0.8,8.9,+/-,2.5,4,1,+/-,1.5,0.2,5.5,+/-,1.9,0.4,4.11,+/-,0.71,0.52,1.32,+/-,1,0.17,94.53,2.67583,100A/95A/95A,4.45E+14
CL5_399891150CCS_F0030530CCAM02027P3.CSV,Link,48.7,+/-,4.9,1.1,0.95,+/-,0.48,0.04,21.3,+/-,3.7,1.2,9.3,+/-,2.6,1.6,1.2,+/-,1.5,0,4.5,+/-,1.6,0.5,3.75,+/-,0.67,0.28,2.16,+/-,1.18,0.28,91.94,2.67583,100A/95A/95A,3.56E+14
CL5_399891247CCS_F0030530CCAM02027P3.CSV,Link,51.6,+/-,5,0.8,0.74,+/-,0.43,0.04,22.9,+/-,3.8,1.1,4,+/-,1.9,2.6,1,+/-,1.5,0.3,6.7,+/-,2.2,0.3,4.71,+/-,0.83,0.26,1.87,+/-,1.15,0.17,93.52,2.67583,100A/95A/95A,2.43E+14
CL5_399891343CCS_F0030530CCAM02027P3.CSV,Link,49.8,+/-,5,2.4,1.34,+/-,0.57,0.56,19.5,+/-,3.7,1.4,15.6,+/-,3.5,3.1,1.2,+/-,1.5,0.1,4,+/-,1.4,1.3,3.53,+/-,0.65,0.87,1.57,+/-,1.08,0.06,96.61,2.67583,100A/95A/95A,4.52E+14
CL5_400331689CCS_F0040000CCAM02032P3.CSV,Pekanatui,44.3,+/-,5.1,1.1,1.23,+/-,0.55,0.13,12.1,+/-,3.6,1,17.9,+/-,3.9,0.7,2.9,+/-,1.6,0.1,10.3,+/-,2.9,1.4,3.42,+/-,0.65,0.18,0.5,+/-,0.66,0.04,92.58,2.95496,100A/95A/95A,9.35E+14
CL5_400331785CCS_F0040000CCAM02032P3.CSV,Pekanatui,42.9,+/-,5.2,1,1.83,+/-,0.71,0.22,12.6,+/-,3.6,0.7,19.9,+/-,4.2,1.1,2.4,+/-,1.6,0.2,7.5,+/-,2.4,0.6,3.56,+/-,0.66,0.18,0.54,+/-,0.67,0.04,91.18,2.95496,100A/95A/95A,1.13E+15
CL5_400331881CCS_F0040000CCAM02032P3.CSV,Pekanatui,46.6,+/-,5,1.2,1.43,+/-,0.6,0.13,14.1,+/-,3.6,0.7,17.8,+/-,3.9,0.3,2.7,+/-,1.6,0.1,7.5,+/-,2.4,0.6,3.45,+/-,0.65,0.13,0.48,+/-,0.65,0.03,94.08,2.95496,100A/95A/95A,9.91E+14
CL5_400331978CCS_F0040000CCAM02032P3.CSV,Pekanatui,44.2,+/-,5.1,0.4,2.82,+/-,1.09,0.11,13.1,+/-,3.6,0.4,17.4,+/-,3.8,0.3,2.1,+/-,1.6,0.1,6.1,+/-,2,0.4,4.54,+/-,0.79,0.15,0.9,+/-,0.82,0.04,91.18,2.95496,100A/95A/95A,8.33E+14
CL5_400332074CCS_F0040000CCAM02032P3.CSV,Pekanatui,41.3,+/-,5.3,0.6,1.71,+/-,0.68,0.11,6.3,+/-,3.2,0.4,20,+/-,4.2,0.9,5,+/-,1.9,0.3,7.4,+/-,2.4,0.5,2.24,+/-,0.62,0.17,0.27,+/-,0.58,0.04,84.24,2.95496,100A/95A/95A,1.17E+15
CL5_400332740CCS_F0040000CCAM03032P3.CSV,Taltheilei,53.5,+/-,5.1,0.4,0.74,+/-,0.43,0.01,18.5,+/-,3.7,0.7,9.5,+/-,2.6,0.5,1.8,+/-,1.5,0.3,7.5,+/-,2.4,0.3,5.74,+/-,1,0.16,0.52,+/-,0.67,0.05,97.89,2.50875,100A/95A/95A,5.19E+14
CL5_400332836CCS_F0040000CCAM03032P3.CSV,Taltheilei,54.5,+/-,5.1,0.9,0.63,+/-,0.4,0.02,11.9,+/-,3.6,0.3,12.9,+/-,3.1,1.5,4.5,+/-,1.8,0.2,9.5,+/-,2.8,0.5,2.84,+/-,0.62,0.18,0.35,+/-,0.61,0.03,97.29,2.50875,100A/95A/95A,6.18E+14
CL5_400332932CCS_F0040000CCAM03032P3.CSV,Taltheilei,45.1,+/-,5,0.3,1.53,+/-,0.62,0.05,17.6,+/-,3.7,1.1,18.6,+/-,4,0.5,2.7,+/-,1.6,0.2,7.6,+/-,2.4,0.4,3.74,+/-,0.67,0.17,0.32,+/-,0.6,0.02,97.15,2.50875,100A/95A/95A,7.90E+14
